typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","242","FJI","Fiji","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153.851","true","-1","N/A","0","false","153.851","true","0","false","2500","2500","2500","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","246","FIN","Finland","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1641302.391","true","-1","N/A","0","false","1641302.391","true","0","false","23701621","22939976","23701621","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","251","FRA","France","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20135639.318","true","-1","N/A","0","false","20135639.318","true","0","false","286360567","276985148","286360567","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","266","GAB","Gabon","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","788.848","true","-1","N/A","0","false","788.848","true","0","false","16296","16088","16296","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","268","GEO","Georgia","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","488092.767","true","-1","N/A","0","false","488092.767","true","0","false","7204182","6994070","7204182","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","275","PSE","State of Palestine","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","505.713","true","-1","N/A","0","false","505.713","true","0","false","10447","10241","10447","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","383330392.637","true","-1","N/A","0","false","383330392.637","true","0","false","5506569462","5388686257","5506569462","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","288","GHA","Ghana","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12231.897","true","-1","N/A","0","false","12231.897","true","0","false","163263","158538","163263","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","296","KIR","Kiribati","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","180.793","true","-1","N/A","0","false","180.793","true","0","false","2896","2856","2896","6","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","300","GRC","Greece","0","W00","World","H6","HS","true","8708","Motor vehicles; parts and accessories, of heading no. 8701 to 8705","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","366264.482","true","-1","N/A","0","false","366264.482","true","0","false","5381839","4894580","5381839","6","false","true",
